Step 34600: Accuracy(0.473383330405), Loss(0.00816285322731)
Step 34700: Accuracy(0.474583330651), Loss(0.00810347711124)
Step 34800: Accuracy(0.470933330506), Loss(0.00811253501335)
Step 34900: Accuracy(0.469683330307), Loss(0.00820407060673)
Step 35000: Accuracy(0.47331666405), Loss(0.00815181515956)
Step 35100: Accuracy(0.474216662248), Loss(0.00809514859769)
Step 35200: Accuracy(0.476199997117), Loss(0.00809145591299)
Step 35300: Accuracy(0.473383329709), Loss(0.0081461859184)
Step 35400: Accuracy(0.475249997278), Loss(0.00813422548429)
Step 35500: Accuracy(0.47298333029), Loss(0.00814274766948)
Step 35600: Accuracy(0.479183330685), Loss(0.00814800095667)
Step 35700: Accuracy(0.475366663486), Loss(0.00818516098506)
Step 35800: Accuracy(0.470816663752), Loss(0.00810772927711)
Step 35900: Accuracy(0.476716662596), Loss(0.00819203357367)
Step 36000: Accuracy(0.472883330186), Loss(0.00816058070321)
Step 36100: Accuracy(0.471466662784), Loss(0.00826513089628)
Step 36200: Accuracy(0.469683331301), Loss(0.00821798773094)
Step 36300: Accuracy(0.472449997365), Loss(0.00818418229697)
Step 36400: Accuracy(0.473516663214), Loss(0.00816004703132)
Step 36500: Accuracy(0.473983331372), Loss(0.00810878051445)
Step 36600: Accuracy(0.476816664487), Loss(0.00813014683469)
Step 36700: Accuracy(0.473483330458), Loss(0.00814893434212)
Step 36800: Accuracy(0.475516664386), Loss(0.00819670209894)
Step 36900: Accuracy(0.47739999637), Loss(0.00813416599995)
Step 37000: Accuracy(0.47794999674), Loss(0.00809421811175)
Step 37100: Accuracy(0.475499997884), Loss(0.0081154046976)
Step 37200: Accuracy(0.477066663504), Loss(0.00809871664116)
Step 37300: Accuracy(0.477433331013), Loss(0.00811294192759)
Step 37400: Accuracy(0.473783331116), Loss(0.00813294577568)
Step 37500: Accuracy(0.474566663901), Loss(0.00818560426279)
Step 37600: Accuracy(0.474283330093), Loss(0.00814341345336)
Step 37700: Accuracy(0.475399997433), Loss(0.00806257019828)
Step 37800: Accuracy(0.476949996998), Loss(0.0081492666939)
Step 37900: Accuracy(0.475749997397), Loss(0.00806963740926)
Step 38000: Accuracy(0.474749997556), Loss(0.00810085987517)
Step 38100: Accuracy(0.474999997218), Loss(0.00808257683879)
Step 38200: Accuracy(0.476683330238), Loss(0.0081087538437)
Step 38300: Accuracy(0.475966663957), Loss(0.00815391428613)
Step 38400: Accuracy(0.472233329813), Loss(0.00822458370977)
Step 38500: Accuracy(0.471333331217), Loss(0.0082135094547)
Step 38600: Accuracy(0.476966663649), Loss(0.00807833302921)
Step 38700: Accuracy(0.474783330808), Loss(0.00811466484486)
Step 38800: Accuracy(0.477766664177), Loss(0.00814038322462)
Step 38900: Accuracy(0.473699996471), Loss(0.00807932991534)
Step 39000: Accuracy(0.480499997536), Loss(0.00806447281114)
Step 39100: Accuracy(0.47188333119), Loss(0.00813498598601)
Step 39200: Accuracy(0.474716664205), Loss(0.0081144098922)
Step 39300: Accuracy(0.478733329674), Loss(0.00817774647769)
Step 39400: Accuracy(0.475883330703), Loss(0.00816634107692)
Step 39500: Accuracy(0.480066663573), Loss(0.00807613750221)
Step 39600: Accuracy(0.478266663005), Loss(0.00819483940955)
Step 39700: Accuracy(0.481083329717), Loss(0.00810785650043)
Step 39800: Accuracy(0.475749997149), Loss(0.0080716981537)
Step 39900: Accuracy(0.477483330518), Loss(0.00808631681449)
Step 40000: Accuracy(0.475883330107), Loss(0.0081756078514)
Step 40100: Accuracy(0.47358333081), Loss(0.00810963427415)
Step 40200: Accuracy(0.473583330313), Loss(0.0081096342757)
Step 40300: Accuracy(0.473583329568), Loss(0.00807448430841)
Step 40400: Accuracy(0.477899996787), Loss(0.00806328217189)
Step 40500: Accuracy(0.480449997385), Loss(0.00803285849669)
Step 40600: Accuracy(0.476449997971), Loss(0.00807239470926)
Step 40700: Accuracy(0.480916663955), Loss(0.00812075239451)
Step 40800: Accuracy(0.478949997723), Loss(0.00815581680819)
Step 40900: Accuracy(0.475316664279), Loss(0.00825980417508)
Step 41000: Accuracy(0.480566663245), Loss(0.00807767969867)
Step 41100: Accuracy(0.474266664237), Loss(0.00808513454394)
Step 41200: Accuracy(0.479033331176), Loss(0.00803103062091)
Step 41300: Accuracy(0.480999996612), Loss(0.00800603168706)
Step 41400: Accuracy(0.479066663235), Loss(0.00802892740971)
Step 41500: Accuracy(0.482066663553), Loss(0.00800035046957)
Step 41600: Accuracy(0.481533330381), Loss(0.00801687044945)
Step 41700: Accuracy(0.482933330387), Loss(0.00800648328615)
Step 41800: Accuracy(0.480349996736), Loss(0.00801324230153)
Step 41900: Accuracy(0.4806666632), Loss(0.00801565842781)
Step 42000: Accuracy(0.47854999726), Loss(0.00804374635064)
Step 42100: Accuracy(0.476549996336), Loss(0.00803503931345)
Step 42200: Accuracy(0.478899996926), Loss(0.00802774234132)
Step 42300: Accuracy(0.47894999668), Loss(0.00811240755254)
Step 42400: Accuracy(0.479849997908), Loss(0.00808984338384)
Step 42500: Accuracy(0.481299997369), Loss(0.00802016279272)
Step 42600: Accuracy(0.482583329976), Loss(0.00803449740168)
Step 42700: Accuracy(0.481599997183), Loss(0.00802279943445)
Step 42800: Accuracy(0.479416663398), Loss(0.00800912335437)
Step 42900: Accuracy(0.476233330866), Loss(0.00809925726693)
Step 43000: Accuracy(0.481216664463), Loss(0.0080652382349)
Step 43100: Accuracy(0.477533330321), Loss(0.00804473161387)
Step 43200: Accuracy(0.479233330488), Loss(0.00801403695174)
Step 43300: Accuracy(0.480716663649), Loss(0.00806230149309)
Step 43400: Accuracy(0.481133330613), Loss(0.00801974046122)
Step 43500: Accuracy(0.480933330059), Loss(0.00807477124811)
Step 43600: Accuracy(0.481716664235), Loss(0.00804040923171)
