Step 35300: Accuracy(0.475616663943), Loss(0.00819219298195)
Step 35400: Accuracy(0.47249999697), Loss(0.008186575172)
Step 35500: Accuracy(0.475116663426), Loss(0.0082144059171)
Step 35600: Accuracy(0.47461666435), Loss(0.00816954210401)
Step 35700: Accuracy(0.474583330701), Loss(0.00831382354721)
Step 35800: Accuracy(0.470933330307), Loss(0.00838745155837)
Step 35900: Accuracy(0.472183329264), Loss(0.00839000774703)
Step 36000: Accuracy(0.477183330903), Loss(0.008346026397)
Step 36100: Accuracy(0.472083331446), Loss(0.00823045368306)
Step 36200: Accuracy(0.471749996295), Loss(0.00826489292008)
Step 36300: Accuracy(0.470016663969), Loss(0.00826630819201)
Step 36400: Accuracy(0.476966663649), Loss(0.00822824258435)
Step 36500: Accuracy(0.474866663615), Loss(0.00817504804892)
Step 36600: Accuracy(0.479466663152), Loss(0.0082379726111)
Step 36700: Accuracy(0.476366663625), Loss(0.00829569976311)
Step 36800: Accuracy(0.475266664028), Loss(0.00819071518412)
Step 36900: Accuracy(0.480016664267), Loss(0.00830861604462)
Step 37000: Accuracy(0.475949996958), Loss(0.00819812194367)
Step 37100: Accuracy(0.475266664128), Loss(0.00821423756424)
Step 37200: Accuracy(0.476733330687), Loss(0.00819243538193)
Step 37300: Accuracy(0.475183329781), Loss(0.00824027037326)
Step 37400: Accuracy(0.474983330121), Loss(0.0081698792226)
Step 37500: Accuracy(0.478983330478), Loss(0.00825475278466)
Step 37600: Accuracy(0.477349997511), Loss(0.00820732467265)
Step 37700: Accuracy(0.477366663466), Loss(0.00837024702147)
Step 37800: Accuracy(0.478016664535), Loss(0.00827035408157)
Step 37900: Accuracy(0.481783330838), Loss(0.00815993147825)
Step 38000: Accuracy(0.47534999753), Loss(0.00829062131234)
Step 38100: Accuracy(0.471983329803), Loss(0.00826904176967)
Step 38200: Accuracy(0.475016663472), Loss(0.00820398969343)
Step 38300: Accuracy(0.479666663011), Loss(0.00835878312976)
Step 38400: Accuracy(0.472849996934), Loss(0.00826282427569)
Step 38500: Accuracy(0.475016663422), Loss(0.00825504569104)
Step 38600: Accuracy(0.479583330601), Loss(0.00819266530452)
Step 38700: Accuracy(0.478466663708), Loss(0.00812390585585)
Step 38800: Accuracy(0.47898333028), Loss(0.00820854939908)
Step 38900: Accuracy(0.478283330152), Loss(0.00818433981001)
Step 39000: Accuracy(0.477983330786), Loss(0.008443024018)
Step 39100: Accuracy(0.481616663635), Loss(0.00816934549017)
Step 39200: Accuracy(0.470916663706), Loss(0.00840365879315)
Step 39300: Accuracy(0.476266664018), Loss(0.00825754240854)
Step 39400: Accuracy(0.475199997425), Loss(0.00825646020472)
Step 39500: Accuracy(0.47793332989), Loss(0.00817370468673)
Step 39600: Accuracy(0.476383330872), Loss(0.00819074711374)
Step 39700: Accuracy(0.476483330925), Loss(0.0082085701474)
Step 39800: Accuracy(0.475283330182), Loss(0.0081616674612)
Step 39900: Accuracy(0.47781666398), Loss(0.00819295211307)
Step 40000: Accuracy(0.478066663841), Loss(0.00819070019061)
Step 40100: Accuracy(0.478066663593), Loss(0.00819070019371)
Step 40200: Accuracy(0.480299997181), Loss(0.00812791801446)
Step 40300: Accuracy(0.480883330752), Loss(0.00813910751526)
Step 40400: Accuracy(0.48378333052), Loss(0.0081053616417)
Step 40500: Accuracy(0.482133330305), Loss(0.008103207453)
Step 40600: Accuracy(0.476399996628), Loss(0.00856023622056)
Step 40700: Accuracy(0.48144999663), Loss(0.00812314312439)
Step 40800: Accuracy(0.480866663804), Loss(0.00812804964371)
Step 40900: Accuracy(0.478699997813), Loss(0.00807825546479)
Step 41000: Accuracy(0.481383330027), Loss(0.0082116728408)
Step 41100: Accuracy(0.480733330299), Loss(0.00818933645108)
