Step 29100: Accuracy(0.543666662872), Loss(0.00726787151536)
Step 29200: Accuracy(0.542916664829), Loss(0.00758658608111)
Step 29300: Accuracy(0.53899999693), Loss(0.00729823814007)
Step 29400: Accuracy(0.536549997379), Loss(0.00734829461124)
Step 29500: Accuracy(0.542083330899), Loss(0.00718019251712)
Step 29600: Accuracy(0.544199997584), Loss(0.00722386811627)
Step 29700: Accuracy(0.544166664431), Loss(0.0071873651701)
Step 29800: Accuracy(0.545199997375), Loss(0.00714399585035)
Step 29900: Accuracy(0.544799997509), Loss(0.00719578127842)
Step 30000: Accuracy(0.542766663134), Loss(0.00720754280764)
Step 30100: Accuracy(0.530849996805), Loss(0.00723199315912)
Step 30200: Accuracy(0.540199997226), Loss(0.0071764440462)
Step 30300: Accuracy(0.541766664386), Loss(0.00720765952797)
Step 30400: Accuracy(0.542916664382), Loss(0.00713019730989)
Step 30500: Accuracy(0.543966663579), Loss(0.00711944183257)
Step 30600: Accuracy(0.539816663116), Loss(0.00725446928448)
Step 30700: Accuracy(0.543649996469), Loss(0.00730844541763)
Step 30800: Accuracy(0.544449996452), Loss(0.00707158917406)
Step 30900: Accuracy(0.545399997334), Loss(0.00729026675923)
Step 31000: Accuracy(0.543799997369), Loss(0.00730502202952)
Step 31100: Accuracy(0.541783330093), Loss(0.00718296962557)
Step 31200: Accuracy(0.542866663386), Loss(0.00715632028024)
Step 31300: Accuracy(0.542133330256), Loss(0.00740565483458)
Step 31400: Accuracy(0.544983329773), Loss(0.00719723052112)
Step 31500: Accuracy(0.543199996402), Loss(0.00720999663773)
Step 31600: Accuracy(0.543249997099), Loss(0.00748122361101)
Step 31700: Accuracy(0.544049996237), Loss(0.00715641206751)
Step 31800: Accuracy(0.542866663386), Loss(0.00718386156329)
Step 31900: Accuracy(0.543299997052), Loss(0.00719810252155)
Step 32000: Accuracy(0.544666662465), Loss(0.00728434475449)
Step 32100: Accuracy(0.542783329238), Loss(0.00715940220281)
Step 32200: Accuracy(0.540266663631), Loss(0.00715713076449)
Step 32300: Accuracy(0.542849996438), Loss(0.00739832153001)
Step 32400: Accuracy(0.546466663827), Loss(0.00715547300798)
Step 32500: Accuracy(0.54191666315), Loss(0.0071398197456)
Step 32600: Accuracy(0.539966664016), Loss(0.00713703929602)
Step 32700: Accuracy(0.539716662864), Loss(0.00719239940401)
Step 32800: Accuracy(0.54274999847), Loss(0.00743978999478)
Step 32900: Accuracy(0.543316662163), Loss(0.0071279246849)
Step 33000: Accuracy(0.543516663959), Loss(0.0071846539954)
Step 33100: Accuracy(0.543983331074), Loss(0.00716709620707)
Step 33200: Accuracy(0.535699997346), Loss(0.00736863022282)
Step 33300: Accuracy(0.541999997497), Loss(0.00753390025736)
Step 33400: Accuracy(0.546233329475), Loss(0.00722624939478)
Step 33500: Accuracy(0.540349996984), Loss(0.00714728030764)
Step 33600: Accuracy(0.542433329175), Loss(0.00731187758967)
Step 33700: Accuracy(0.540216664076), Loss(0.00720562467972)
Step 33800: Accuracy(0.543649996668), Loss(0.00714661091178)
Step 33900: Accuracy(0.541266662826), Loss(0.00714811382194)
Step 34000: Accuracy(0.540666664541), Loss(0.00715459091201)
Step 34100: Accuracy(0.541283330868), Loss(0.0072016923766)
Step 34200: Accuracy(0.540266662985), Loss(0.00719957633953)
Step 34300: Accuracy(0.544533330897), Loss(0.00711764807813)
Step 34400: Accuracy(0.542716663579), Loss(0.00710944987601)
Step 34500: Accuracy(0.541616663684), Loss(0.00717186311493)
Step 34600: Accuracy(0.543449997455), Loss(0.00713606510079)
Step 34700: Accuracy(0.542383329521), Loss(0.00726328218045)
Step 34800: Accuracy(0.541183330019), Loss(0.00720247819011)
Step 34900: Accuracy(0.542549997518), Loss(0.00742297822221)
Step 35000: Accuracy(0.539799996962), Loss(0.00726276891306)
Step 35100: Accuracy(0.541649996936), Loss(0.00728559587927)
Step 35200: Accuracy(0.543983329584), Loss(0.00714070314076)
Step 35300: Accuracy(0.545499996295), Loss(0.00715812513294)
Step 35400: Accuracy(0.541283329427), Loss(0.00726758704754)
Step 35500: Accuracy(0.543983329833), Loss(0.00751052689739)
Step 35600: Accuracy(0.543199996352), Loss(0.00722481724418)
Step 35700: Accuracy(0.540316663682), Loss(0.00721198840377)
Step 35800: Accuracy(0.538933330526), Loss(0.00729358345581)
Step 35900: Accuracy(0.536866663247), Loss(0.00731459172443)
Step 36000: Accuracy(0.543666664908), Loss(0.00719981200527)
Step 36100: Accuracy(0.543749997069), Loss(0.00720629581716)
Step 36200: Accuracy(0.542383330464), Loss(0.0073605157272)
Step 36300: Accuracy(0.540833331098), Loss(0.00738840659304)
Step 36400: Accuracy(0.540433330437), Loss(0.00726563742617)
Step 36500: Accuracy(0.542233330955), Loss(0.00731075819582)
Step 36600: Accuracy(0.542983330439), Loss(0.00722561971129)
Step 36700: Accuracy(0.54864999637), Loss(0.0071082890903)
Step 36800: Accuracy(0.546033329467), Loss(0.00715753733879)
Step 36900: Accuracy(0.541216663967), Loss(0.00718661713957)
Step 37000: Accuracy(0.54261666437), Loss(0.00725196140974)
Step 37100: Accuracy(0.54614999637), Loss(0.00713466254839)
Step 37200: Accuracy(0.541649997036), Loss(0.00723933158598)
Step 37300: Accuracy(0.541483330627), Loss(0.00724007960875)
Step 37400: Accuracy(0.545416663835), Loss(0.00732668113972)
Step 37500: Accuracy(0.537399997165), Loss(0.00729438127484)
Step 37600: Accuracy(0.540766662955), Loss(0.00731857428948)
Step 37700: Accuracy(0.543149996897), Loss(0.00734850341532)
Step 37800: Accuracy(0.543899998267), Loss(0.00722056392192)
Step 37900: Accuracy(0.54289999639), Loss(0.00733590069305)
Step 38000: Accuracy(0.53388333117), Loss(0.00738988701797)
Step 38100: Accuracy(0.542049997598), Loss(0.00720400837405)
Step 38200: Accuracy(0.539783330162), Loss(0.00713505488277)
Step 38300: Accuracy(0.540416663587), Loss(0.00732913562329)
Step 38400: Accuracy(0.539633330951), Loss(0.00733447973228)
Step 38500: Accuracy(0.544766663214), Loss(0.00723648237608)
Step 38600: Accuracy(0.544083331078), Loss(0.0071726639499)
Step 38700: Accuracy(0.546066664358), Loss(0.00745950651122)
Step 38800: Accuracy(0.541999997397), Loss(0.00730817538143)
Step 38900: Accuracy(0.544916664163), Loss(0.00726167963818)
Step 39000: Accuracy(0.544883331209), Loss(0.00715910206782)
Step 39100: Accuracy(0.543499996116), Loss(0.00724910721028)
Step 39200: Accuracy(0.543733329326), Loss(0.00760055461122)
Step 39300: Accuracy(0.544949996422), Loss(0.0072156824288)
Step 39400: Accuracy(0.539683330705), Loss(0.00733942129106)
Step 39500: Accuracy(0.547616663824), Loss(0.00726162784578)
Step 39600: Accuracy(0.541249997218), Loss(0.00720564432365)
Step 39700: Accuracy(0.538983331174), Loss(0.00723232784929)
Step 39800: Accuracy(0.544399997691), Loss(0.00727225469813)
Step 39900: Accuracy(0.54151666378), Loss(0.00732498676982)
Step 40000: Accuracy(0.543699997365), Loss(0.00733423834822)
Step 40100: Accuracy(0.543699998111), Loss(0.00733423835443)
Step 40200: Accuracy(0.549899996966), Loss(0.00741621614201)
Step 40300: Accuracy(0.550099997073), Loss(0.00706971705581)
Step 40400: Accuracy(0.549549997598), Loss(0.0073895138409)
Step 40500: Accuracy(0.526283330818), Loss(0.00759958495852)
Step 40600: Accuracy(0.547766663978), Loss(0.00725681714403)
Step 40700: Accuracy(0.547149997056), Loss(0.00717505273875)
Step 40800: Accuracy(0.547066663454), Loss(0.00716052366809)
Step 40900: Accuracy(0.548633329719), Loss(0.00738178736608)
Step 41000: Accuracy(0.552816663583), Loss(0.0070828608602)
Step 41100: Accuracy(0.550566663096), Loss(0.00722684414204)
Step 41200: Accuracy(0.547133330752), Loss(0.00716678207119)
Step 41300: Accuracy(0.548066663643), Loss(0.00716565498384)
Step 41400: Accuracy(0.55094999825), Loss(0.00720481467977)
Step 41500: Accuracy(0.550483331432), Loss(0.00718306171863)
Step 41600: Accuracy(0.550899996857), Loss(0.0073612357125)
Step 41700: Accuracy(0.549133331527), Loss(0.00746289354516)
Step 41800: Accuracy(0.54993332987), Loss(0.00712006880126)
Step 41900: Accuracy(0.549799996565), Loss(0.00745362797985)
Step 42000: Accuracy(0.551266664167), Loss(0.00716091225157)
Step 42100: Accuracy(0.551099997411), Loss(0.0075783826923)
Step 42200: Accuracy(0.548916663428), Loss(0.0073329657844)
Step 42300: Accuracy(0.547599996428), Loss(0.00724234701134)
Step 42400: Accuracy(0.549866664261), Loss(0.0072200302446)
Step 42500: Accuracy(0.548933329036), Loss(0.00718592729031)
