Step 23200: Accuracy(0.53304999734), Loss(0.00733105556418)
Step 23300: Accuracy(0.534766664008), Loss(0.00729935323043)
Step 23400: Accuracy(0.529149996936), Loss(0.00728993240666)
Step 23500: Accuracy(0.532216663957), Loss(0.00731395889306)
Step 23600: Accuracy(0.532083330651), Loss(0.00733132878551)
Step 23700: Accuracy(0.532883331279), Loss(0.00725390511099)
Step 23800: Accuracy(0.529499997397), Loss(0.00728555517504)
Step 23900: Accuracy(0.53213333105), Loss(0.00727149894539)
Step 24000: Accuracy(0.533166664392), Loss(0.00727707996964)
Step 24100: Accuracy(0.531683331033), Loss(0.00729442488092)
Step 24200: Accuracy(0.534533330848), Loss(0.00727037944443)
Step 24300: Accuracy(0.534633330107), Loss(0.00728010553789)
Step 24400: Accuracy(0.534283330937), Loss(0.00729746965226)
Step 24500: Accuracy(0.528483330508), Loss(0.00732131534411)
Step 24600: Accuracy(0.530249997626), Loss(0.00728556499661)
Step 24700: Accuracy(0.528216663996), Loss(0.00732388959499)
Step 24800: Accuracy(0.532949995945), Loss(0.0072793313209)
Step 24900: Accuracy(0.532466664265), Loss(0.0072623894643)
Step 25000: Accuracy(0.535966663112), Loss(0.00729632426519)
Step 25100: Accuracy(0.534133329391), Loss(0.00722510633447)
Step 25200: Accuracy(0.534049996783), Loss(0.00730019616274)
Step 25300: Accuracy(0.532599997173), Loss(0.00722442676624)
Step 25400: Accuracy(0.534699996909), Loss(0.00731911895952)
Step 25500: Accuracy(0.533933330377), Loss(0.00730371908362)
Step 25600: Accuracy(0.53283333083), Loss(0.00731790541982)
Step 25700: Accuracy(0.533499996811), Loss(0.00732101221957)
Step 25800: Accuracy(0.528583330264), Loss(0.0073060687352)
Step 25900: Accuracy(0.533499997457), Loss(0.00727653850646)
Step 26000: Accuracy(0.529849996815), Loss(0.00731576836823)
Step 26100: Accuracy(0.531049996813), Loss(0.00729709579532)
Step 26200: Accuracy(0.53543332989), Loss(0.0072669129547)
Step 26300: Accuracy(0.532399996171), Loss(0.00725031772396)
Step 26400: Accuracy(0.533433329463), Loss(0.00727828238625)
Step 26500: Accuracy(0.532016662608), Loss(0.00727882797985)
Step 26600: Accuracy(0.534816663812), Loss(0.00730055876231)
Step 26700: Accuracy(0.529166664282), Loss(0.00731075738091)
Step 26800: Accuracy(0.531499996086), Loss(0.00730552489016)
Step 26900: Accuracy(0.532283330162), Loss(0.00725185787926)
Step 27000: Accuracy(0.533199995806), Loss(0.00726107197503)
Step 27100: Accuracy(0.527899998079), Loss(0.00731616021677)
Step 27200: Accuracy(0.533383330504), Loss(0.00727155419532)
Step 27300: Accuracy(0.534866663714), Loss(0.00728540668264)
Step 27400: Accuracy(0.534249997338), Loss(0.00728243551605)
Step 27500: Accuracy(0.532933330685), Loss(0.00731869410646)
Step 27600: Accuracy(0.532349996567), Loss(0.00724698313434)
Step 27700: Accuracy(0.53299999694), Loss(0.00731680519413)
Step 27800: Accuracy(0.53198332866), Loss(0.00736638580527)
Step 27900: Accuracy(0.535149997572), Loss(0.00728324698439)
Step 28000: Accuracy(0.534599997054), Loss(0.00725545015419)
Step 28100: Accuracy(0.530816663802), Loss(0.00733281703045)
Step 28200: Accuracy(0.534083330383), Loss(0.00728866220297)
Step 28300: Accuracy(0.535166663975), Loss(0.00734002173878)
Step 28400: Accuracy(0.53298333019), Loss(0.00727061679121)
Step 28500: Accuracy(0.535749997), Loss(0.00727460093175)
Step 28600: Accuracy(0.535349997828), Loss(0.00729398278364)
Step 28700: Accuracy(0.533983330031), Loss(0.00725373744499)
Step 28800: Accuracy(0.530299997379), Loss(0.00728382175788)
Step 28900: Accuracy(0.536466663231), Loss(0.00729335022702)
Step 29000: Accuracy(0.536649996986), Loss(0.00726386683605)
Step 29100: Accuracy(0.533566663861), Loss(0.00732953246993)
Step 29200: Accuracy(0.533366663704), Loss(0.00729586691518)
Step 29300: Accuracy(0.535716663798), Loss(0.00724646777613)
Step 29400: Accuracy(0.532599996527), Loss(0.00732818318298)
Step 29500: Accuracy(0.535399996688), Loss(0.00725920583665)
Step 29600: Accuracy(0.534283330639), Loss(0.00731631091718)
Step 29700: Accuracy(0.536399997224), Loss(0.00724840564576)
Step 29800: Accuracy(0.531499997328), Loss(0.00736031110476)
Step 29900: Accuracy(0.531783329695), Loss(0.00728791609018)
Step 30000: Accuracy(0.535149996529), Loss(0.00737591817044)
Step 30100: Accuracy(0.533833330621), Loss(0.00730632586482)
Step 30200: Accuracy(0.534749997258), Loss(0.00725221705856)
Step 30300: Accuracy(0.532849996934), Loss(0.00732799314195)
Step 30400: Accuracy(0.533099996497), Loss(0.00722840400025)
Step 30500: Accuracy(0.535283330878), Loss(0.00729434582405)
Step 30600: Accuracy(0.535116662979), Loss(0.00728436262036)
Step 30700: Accuracy(0.534799996515), Loss(0.00724281282397)
Step 30800: Accuracy(0.530049997071), Loss(0.0072452235641)
Step 30900: Accuracy(0.536083330264), Loss(0.00724645719941)
Step 31000: Accuracy(0.533699996372), Loss(0.00728582843672)
Step 31100: Accuracy(0.531333329678), Loss(0.00729273090527)
Step 31200: Accuracy(0.536099998554), Loss(0.00729985274374)
Step 31300: Accuracy(0.530649996797), Loss(0.00728124196098)
Step 31400: Accuracy(0.533333330105), Loss(0.0073178465416)
Step 31500: Accuracy(0.536166662971), Loss(0.00727409668189)
Step 31600: Accuracy(0.535233330131), Loss(0.00721745259827)
Step 31700: Accuracy(0.534049996088), Loss(0.00730880507656)
Step 31800: Accuracy(0.535633330146), Loss(0.00731062456267)
Step 31900: Accuracy(0.532249996463), Loss(0.0073404447098)
Step 32000: Accuracy(0.532816663682), Loss(0.00726295749812)
Step 32100: Accuracy(0.53619999667), Loss(0.00727062826122)
Step 32200: Accuracy(0.533499997556), Loss(0.00729753746418)
Step 32300: Accuracy(0.532516662528), Loss(0.00729650193282)
Step 32400: Accuracy(0.52968332996), Loss(0.00736862941645)
Step 32500: Accuracy(0.532399996916), Loss(0.00728473747382)
